Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
HY5_COLAMP_V3A	HY5_colamp_v3a(AT5G11260) Target genes predicted by DAP-seq	144	736	TFT	8124	AT1G64660//AT2G38195//AT5G40670//AT5G60670//AT5G47455//AT1G48570//AT3G62120//AT2G33380//AT5G39850//AT1G28395//AT5G07090//AT5G42540//AT4G15850//AT4G18905//AT5G47930//AT5G16750//AT3G11400//AT5G20600//AT3G18600//AT1G67680//AT3G56150//AT1G36180//AT4G27490//AT3G55510//AT2G35580//AT4G37380//AT4G38810//AT5G57050//AT5G19820//AT1G56110//AT3G17970//AT5G16130//AT3G03630//AT1G30580//AT3G13940//AT5G60360//AT3G49140//AT1G72320//AT3G24830//AT2G47990//AT5G40770//AT4G02930//AT5G27230//AT3G61630//AT4G16630//AT1G79950//AT5G35530//AT1G10450//AT2G20800//AT1G07920//AT3G57660//AT4G35490//AT2G37690//AT5G14580//AT4G25740//AT2G24560//AT4G25630//AT3G56490//AT3G55620//AT1G73680//AT5G57030//AT1G03530//AT5G40200//AT1G49760//AT3G02790//AT4G34265//AT3G62310//AT5G51330//AT1G21400//AT5G20890//AT4G36130//AT1G48630//AT1G64050//AT4G29200//AT2G39990//AT1G12250//AT4G05410//AT5G57890//AT3G27550//AT4G30150//AT2G38310//AT1G29900//AT1G30160//AT4G21490//AT1G06670//AT1G72090//AT1G58380//AT5G09840//AT5G40490//AT3G09630//AT1G27470//AT2G47790//AT5G52520//AT5G35760//AT2G31660//AT2G41840//AT3G60880//AT5G11840//AT2G18193//AT1G19150//AT3G58660//AT3G51750//AT1G67120//AT1G14810//AT5G13940//AT1G15440//AT4G24480//AT4G16720//AT5G23250//AT1G67865//AT3G56570//AT3G20440//AT1G49920//AT1G08910//AT2G39670//AT3G11410//AT5G06110//AT3G05030//AT5G13780//AT5G13830//AT3G03150//AT5G11270//AT2G41190//AT5G18570//AT4G01860//AT5G49560//AT1G01250//AT1G62390//AT3G12080//AT4G32720//AT1G67870//AT3G20300//AT1G79470//AT2G25625//AT4G15770//AT1G22780//AT5G37490//AT1G08190//AT5G06360//AT1G64600//AT5G35910//AT3G13470//AT1G07430//AT3G47580	0.999999965809279	1
PLANT-TYPE_SPORE_DEVELOPMENT	GO:0048236   plant-type spore development,    GOslim:biological_process	1	736	BP	57	AT3G22120	0.769219807512894	1
N-ACETYLTRANSFERASE_ACTIVITY	GO:0008080   N-acetyltransferase activity,    GOslim:molecular_function	3	736	MF	55	AT4G28030//AT5G13780//AT2G39020	0.175960731977447	1
PLASTID_THYLAKOID	GO:0031976   plastid thylakoid,    GOslim:cellular_component	9	736	CC	425	AT5G08540//AT5G16620//AT1G29395//ATCG00540//AT1G12250//AT3G15640//AT3G03920//AT4G37925//AT5G51540	0.757262990851986	1
RAV1_COL	RAV1_col(AT1G13260) Target genes predicted by DAP-seq	235	736	TFT	9274	AT1G49760//AT1G48920//AT5G60990//AT2G39020//AT5G16620//AT1G17560//AT3G62120//AT5G45140//AT3G14390//AT1G64550//AT1G80270//AT1G51310//AT1G73230//AT3G21540//AT5G42540//AT1G47490//AT2G36170//AT4G31810//AT3G28500//AT5G28235//AT1G16960//AT5G16750//AT3G11400//AT2G40700//AT4G10620//AT3G18600//AT5G65850//AT2G19385//AT1G63780//AT5G22650//AT3G22860//AT3G56150//AT3G45430//AT2G37990//AT3G55510//AT4G13150//AT2G22490//AT1G17470//AT5G57050//AT3G23940//AT2G33840//AT4G02220//AT2G24120//AT2G28600//AT5G14610//AT3G51130//AT2G21640//AT1G30580//AT3G13940//AT5G39850//AT2G03670//AT3G19630//AT3G49140//AT4G27010//AT2G34357//AT1G72320//AT3G18610//AT1G77940//AT4G31180//AT5G40770//AT4G02930//AT1G06560//AT3G51800//AT4G21140//AT3G57150//AT3G14700//AT5G27120//AT5G41190//AT1G14810//AT3G01345//AT1G10450//AT4G25340//AT4G22720//AT2G20800//AT2G45710//AT1G15790//AT5G27620//AT3G57660//AT2G24050//AT2G37690//AT2G41190//AT3G55280//AT5G41660//AT5G67240//AT1G42440//AT4G24480//AT1G43170//AT5G53860//AT2G18900//AT5G64420//AT5G09995//AT3G11710//AT5G46160//AT5G11310//AT5G58130//AT3G52140//AT5G22320//AT1G73680//AT3G10530//AT3G62310//AT3G51750//AT1G69070//AT1G17690//AT5G40200//AT4G15000//AT3G19440//AT1G23410//AT5G27640//AT2G10440//AT2G35240//AT1G01250//AT2G03710//AT5G08540//AT3G60960//AT3G14600//AT5G13280//AT5G05450//AT3G62940//AT4G36130//AT5G25800//AT4G29030//AT5G24280//AT4G10450//AT5G22440//AT3G44750//AT1G12250//AT4G05410//AT1G18800//AT1G15930//AT5G41360//AT1G20370//AT2G20060//AT3G23990//AT5G60250//AT4G39040//AT1G29900//AT1G29940//AT3G20300//AT2G40570//AT1G70160//AT2G47990//AT3G01160//AT1G11070//AT4G13750//AT1G58380//AT5G09840//AT1G49540//AT2G39390//AT3G47450//AT5G27330//AT3G09720//AT3G02080//AT3G56340//AT3G20050//AT5G52520//AT5G51540//AT2G05220//AT2G31660//AT4G30990//AT3G56490//AT5G11840//AT4G21490//AT1G48400//AT3G53630//AT2G19670//AT3G58660//AT3G15460//AT4G31700//AT4G04940//AT1G55040//AT4G15730//AT1G04170//AT1G75240//AT3G57940//AT1G67120//AT4G26600//AT5G13940//AT3G12270//AT5G55510//AT2G46230//AT2G44120//AT1G07920//AT3G22320//AT3G23620//AT3G57350//AT3G06530//AT1G80410//AT1G63810//AT5G04150//AT5G47455//AT3G12860//AT3G20440//AT1G26470//AT1G70440//AT4G32510//AT1G10490//AT1G52160//AT2G13430//AT4G31160//AT3G57290//AT1G36180//AT5G17270//AT1G14610//AT1G08610//AT5G52650//AT2G29540//AT3G05030//AT4G34740//AT1G64220//AT5G26270//AT1G26880//AT5G23300//AT1G74050//AT5G52820//AT2G35040//AT5G14520//AT5G41970//AT1G08910//AT4G01860//AT5G11240//AT3G27180//AT3G26730//AT2G18193//AT5G48120//AT2G45280//AT2G25625//AT5G08180//AT3G11964//AT3G06930//AT1G08190//AT5G40490//AT3G47580//AT1G72370//AT3G60360//AT5G25780	0.582227584766668	1
REGULATION_OF_FLAVONOID_BIOSYNTHETIC_PROCESS	GO:0009962   regulation of flavonoid biosynthetic process,    GOslim:biological_process	1	736	BP	124	AT1G67870	0.957733114354367	1
TRANSLATION_RELEASE_FACTOR_ACTIVITY,_CODON_SPECIFIC	GO:0016149   translation release factor activity, codon specific,    GOslim:molecular_function	1	736	MF	7	AT1G12920	0.182964911477741	1
AT5G52660_COLAMP_A	At5g52660_colamp_a(AT5G52660) Target genes predicted by DAP-seq	216	736	TFT	11270	AT1G09810//AT1G03360//AT2G39020//AT5G16620//AT2G05440//AT1G65150//AT5G45140//AT2G16650//AT1G80270//AT2G34260//AT1G18850//AT3G21540//AT5G42540//AT2G24500//AT3G05130//AT1G71280//AT3G28270//AT5G28235//AT1G16960//AT1G32550//AT1G29940//AT1G71770//AT1G63660//AT1G57720//AT2G40430//AT4G29410//AT3G04770//AT1G72090//AT4G36580//AT3G45430//AT4G27490//AT5G15750//AT3G01600//AT1G29720//AT3G55510//AT2G22490//AT5G64420//AT5G39840//AT1G07920//AT5G57050//AT3G27180//AT2G33840//AT5G55920//AT5G19820//AT5G47930//AT5G53230//AT3G49180//AT1G79190//AT2G28600//AT5G06550//AT3G27710//AT2G19730//AT2G21640//AT1G30580//AT3G13940//AT5G39850//AT2G03670//AT5G37130//AT3G48250//AT4G27010//AT2G34357//AT1G64550//AT5G46790//AT3G56490//AT4G02930//AT5G17710//AT3G58660//AT3G51800//AT3G16310//AT2G18180//AT3G01610//AT4G16630//AT4G39300//AT5G53540//AT5G62370//AT5G27620//AT1G80620//AT3G57660//AT2G16570//AT2G05160//AT1G48920//AT4G24480//AT3G15640//AT3G51270//AT4G10480//AT4G07410//AT3G11710//AT5G46160//AT1G10500//AT4G29510//AT5G08620//AT2G15000//AT1G73680//AT2G18220//AT3G54090//AT4G32400//AT1G69070//AT1G18800//AT3G19440//AT2G45310//AT4G15730//AT4G08868//AT3G29633//AT2G17250//AT3G61100//AT3G48500//AT5G11240//AT3G62940//AT3G55620//AT5G20890//AT5G60260//AT4G36130//AT5G25800//AT2G34970//AT4G37910//AT2G03130//AT3G22120//AT5G24280//AT3G58270//AT4G29200//AT5G22440//AT1G32580//AT4G05380//AT5G26180//AT2G21450//AT4G28450//AT1G18540//AT5G41360//AT2G40700//AT2G45670//AT2G04050//AT5G60250//AT1G29900//AT3G06530//AT3G49500//AT1G06670//AT2G40570//AT1G70160//AT2G47990//AT3G01160//AT4G13750//AT2G40360//AT2G36160//AT5G40490//AT5G27330//AT3G03920//AT4G05400//AT3G20050//AT5G52520//AT5G35760//AT2G21440//AT2G31660//AT3G02760//AT5G11840//AT2G19385//AT5G66400//AT3G53630//AT4G11420//AT3G11964//AT3G11940//AT4G31700//AT1G79150//AT3G60360//AT3G51750//AT1G75240//AT3G57940//AT1G67120//AT5G58420//AT5G13940//AT3G54730//AT3G21950//AT3G49410//AT3G49240//AT1G07940//AT3G23620//AT3G57350//AT1G68990//AT1G63810//AT5G04150//AT1G67865//AT2G24255//AT4G04030//AT2G06420//AT2G40450//AT1G36180//AT3G11410//AT1G14610//AT1G08610//AT2G37990//AT3G05030//AT1G29965//AT5G13830//AT3G16810//AT3G56070//AT4G01860//AT5G15810//AT4G23540//AT3G12080//AT4G32720//AT3G20300//AT1G79470//AT2G45280//AT5G56680//AT1G22780//AT3G06930//AT4G25740//AT5G05060//AT1G26630//AT1G08190//AT5G06360//AT2G23350//AT1G23410//AT5G35910//AT1G07430//AT4G37380//AT5G25780	0.999999984087453	1
PROTEIN_FOLDING	GO:0006457   protein folding,    GOslim:biological_process	15	736	BP	338	AT5G17710//AT3G23990//AT3G56070//AT4G37910//AT5G37440//AT5G55920//AT3G20050//AT4G25340//AT5G06110//AT2G28000//AT2G04030//AT3G13470//AT4G24280//AT5G42980//AT5G20890	0.0326996342640763	1
MYB61_COL_A	MYB61_col_a(AT1G09540) Target genes predicted by DAP-seq	57	736	TFT	2746	AT5G17710//AT3G22120//AT1G27510//AT1G15440//AT3G57150//AT2G19730//AT1G48570//AT3G23620//AT4G32400//AT3G54090//AT2G16650//AT4G22720//AT3G58660//AT5G53540//AT3G60880//AT1G47490//AT1G70440//AT4G28450//AT1G57660//AT1G08910//AT5G25230//AT4G08868//AT3G55280//AT2G03550//AT4G37980//AT2G38310//AT5G62270//AT2G28000//AT1G63660//AT2G19385//AT3G04770//AT5G13280//AT5G14520//AT1G29720//AT3G62120//AT4G01860//AT1G17880//AT1G68660//AT3G22310//AT3G61620//AT1G62390//AT4G11211//AT1G57870//AT1G79470//AT1G79190//AT5G06550//AT5G02870//AT2G19670//AT3G27550//AT2G21640//AT5G05060//AT3G60960//AT2G23350//AT3G03150//AT5G35910//AT3G51750//AT4G24280	0.95922989246237	1
RECOGNITION_OF_POLLEN	GO:0048544   recognition of pollen,    GOslim:biological_process	2	736	BP	39	AT3G49500//AT4G05410	0.27261573242113	1
COTYLEDON_VASCULAR_TISSUE_PATTERN_FORMATION	GO:0010588   cotyledon vascular tissue pattern formation,    GOslim:biological_process	1	736	BP	13	AT1G48920	0.297889573143597	1
S-GLYCOSIDE_METABOLIC_PROCESS	GO:0016143   S-glycoside metabolic process,    GOslim:biological_process	4	736	BP	205	AT1G19150//AT5G46790//AT1G62540//AT1G65230	0.768129463966237	1
PROTEIN_TRANSPORTER_ACTIVITY	GO:0008565   protein transporter activity,    GOslim:molecular_function	8	736	MF	137	AT2G36070//AT5G55510//AT1G61570//AT3G20000//AT1G64220//AT2G31660//AT4G27640//AT1G27390	0.0293132346309477	1
CHLOROPHYLL_METABOLIC_PROCESS	GO:0015994   chlorophyll metabolic process,    GOslim:biological_process	2	736	BP	188	AT2G35500//AT5G11840	0.952199217319217	1
THREONINE_CATABOLIC_PROCESS	GO:0006567   threonine catabolic process,    GOslim:biological_process	1	736	BP	12	AT4G24830	0.279923045288569	1
PROTEIN_UBIQUITINATION_INVOLVED_IN_UBIQUITIN-DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GO:0042787   protein ubiquitination involved in ubiquitin-dependent protein catabolic process,    GOslim:biological_process	1	736	BP	12	AT1G23410	0.279923045288569	1
IRON_ION_BINDING	GO:0005506   iron ion binding,    GOslim:molecular_function	6	736	MF	499	ATMG00160//AT1G73680//ATCG00540//AT2G30770//AT1G75200//AT3G26230	0.987440735147821	1
LATERAL_ROOT_MORPHOGENESIS	GO:0010102   lateral root morphogenesis,    GOslim:biological_process	3	736	BP	48	AT1G74560//AT1G18800//AT4G07410	0.134211952790532	1
REGULATION_OF_TRANSLATIONAL_ELONGATION	GO:0006448   regulation of translational elongation,    GOslim:biological_process	1	736	BP	6	AT1G26630	0.162061900314213	1
RESPONSE_TO_GRAVITY	GO:0009629   response to gravity,    GOslim:biological_process	1	736	BP	162	AT1G08190	0.983888688519872	1
DEAR2_COL_A	DEAR2_col_a(AT5G67190) Target genes predicted by DAP-seq	77	736	TFT	2932	AT3G22120//AT1G64660//AT5G60990//AT4G21140//AT1G15440//AT5G25800//AT3G61630//AT5G57050//AT3G01610//AT3G10610//AT1G61570//AT4G29030//AT5G61880//AT3G12670//AT2G39990//AT4G05410//AT1G65230//AT1G67865//AT3G60980//AT2G24255//AT1G47490//AT2G39020//AT1G58380//AT1G34315//AT1G50920//AT2G45670//AT2G24560//AT4G30150//AT3G49660//AT1G01350//AT4G25630//AT2G47610//AT4G35490//AT3G15640//AT3G03920//AT1G26880//AT4G17840//AT3G04770//AT5G58130//AT1G11070//AT4G36580//AT4G29510//AT5G15750//AT5G20160//AT1G29720//AT5G11840//AT3G09630//AT5G41190//AT2G35580//AT4G23540//AT4G38810//AT2G34970//AT3G61620//AT2G34570//AT5G35760//AT1G79470//AT1G49760//AT5G16130//AT2G45310//AT5G08540//AT5G02870//AT5G66400//AT1G69070//AT2G20060//AT1G47500//AT4G02820//AT5G51330//AT5G37130//AT2G23350//AT1G55040//AT1G20140//AT1G07430//AT1G75240//AT1G02870//AT3G55690//AT3G05130//AT5G65860	0.422842748715396	1
ALKENE_BIOSYNTHETIC_PROCESS	GO:0043450   alkene biosynthetic process,    GOslim:biological_process	1	736	BP	133	AT5G37490	0.966360932622986	1
COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GO:0006613   cotranslational protein targeting to membrane,    GOslim:biological_process	1	736	BP	12	AT1G67680	0.279923045288569	1
AMINE_CATABOLIC_PROCESS	GO:0009310   amine catabolic process,    GOslim:biological_process	6	736	BP	213	AT1G64660//AT4G24830//AT5G46790//AT3G27740//AT4G28030//AT2G35500	0.465811333025624	1
PROTEIN_TYROSINE_KINASE_ACTIVITY	GO:0004713   protein tyrosine kinase activity,    GOslim:molecular_function	4	736	MF	333	AT3G45430//AT1G29720//AT1G57870//AT4G24480	0.969993075307048	1
FLORAL_MERISTEM_DETERMINACY	GO:0010582   floral meristem determinacy,    GOslim:biological_process	1	736	BP	15	AT3G55510	0.332490710992328	1
WRKY29_COLAMP_A	WRKY29_colamp_a(AT4G23550) Target genes predicted by DAP-seq	231	736	TFT	11906	AT2G38195//AT5G16620//AT1G65150//AT1G48570//AT5G45140//AT3G63130//AT5G39850//AT2G34260//AT1G51310//AT1G18850//AT3G21540//AT2G19640//AT1G09620//AT5G45570//AT4G31160//AT4G15850//AT2G36930//AT4G31810//AT5G28235//AT5G25754//AT3G12390//AT5G16750//AT1G29940//AT5G67220//AT1G57720//AT4G02220//AT2G40510//AT3G04770//AT3G56150//AT5G30490//AT1G36180//AT3G01600//AT1G29720//AT4G37380//AT4G04670//AT3G61620//AT5G55920//AT1G56110//AT3G17970//AT5G53230//AT1G71730//AT5G58420//AT1G08910//AT2G39990//AT5G14610//AT2G19730//AT1G30580//AT5G27620//AT5G47455//AT2G03670//AT5G37130//AT5G60360//AT4G27010//AT1G75200//AT2G34357//AT5G63890//AT1G25350//AT1G64550//AT3G55690//AT5G40770//AT4G05410//AT3G51800//AT5G15360//AT3G01610//AT4G16630//AT1G79950//AT3G01345//AT5G61880//AT5G53540//AT1G15790//AT1G80620//AT3G57660//AT1G47490//AT1G10840//AT2G37690//AT4G01037//AT2G05160//AT1G77550//AT2G24560//AT5G41660//AT1G42440//AT4G24480//AT5G55150//AT3G15640//AT3G51270//AT5G64420//AT3G06790//AT2G04070//AT5G15610//AT1G10500//AT1G79150//AT3G52140//AT5G22320//AT3G11250//AT1G73680//AT5G57030//AT1G07930//AT2G18110//AT3G51750//AT1G77030//AT1G30240//AT4G32400//AT1G69070//AT1G17690//AT3G13580//AT3G16650//AT1G26470//AT5G08540//AT3G13882//AT2G35240//AT5G03390//AT5G27230//AT4G00620//AT2G17250//AT3G56490//AT3G48500//AT4G27640//AT5G25800//AT4G24830//AT5G24280//AT1G74060//AT4G10450//AT5G22440//AT1G27510//AT4G05380//AT1G12250//AT5G19300//AT5G51020//AT3G60980//AT5G42980//AT2G21450//AT4G28450//AT5G57890//AT2G45670//AT4G30150//AT3G20000//AT5G41765//AT1G29900//AT1G30160//AT4G21490//AT5G48240//AT3G57940//AT4G13750//AT1G49540//AT3G60500//AT4G00930//AT3G09720//AT3G03920//AT4G37925//AT5G52520//AT5G35760//AT4G28030//AT5G51540//AT4G25730//AT4G30990//AT3G54090//AT5G11840//AT1G24148//AT5G58610//AT3G53630//AT3G03060//AT4G31700//AT1G55040//AT1G52930//AT1G04170//AT5G62370//AT5G49560//AT5G17270//AT1G48920//AT5G13940//AT3G12270//AT5G55510//AT1G15440//AT1G07940//AT1G47500//AT3G22320//AT3G57350//AT1G68990//AT1G80410//AT1G63810//AT5G04150//AT3G19210//AT3G55160//AT3G20440//AT2G24255//AT3G24780//AT1G52315//AT5G15550//AT5G42030//AT1G52160//AT5G27470//AT1G73490//AT3G57290//AT3G07750//AT5G06110//AT4G35490//AT2G04030//AT1G20140//AT1G64050//AT2G03820//AT3G56070//AT5G14520//AT1G50920//AT4G32510//AT4G01860//AT4G23540//AT3G26730//AT1G62390//AT3G12080//AT1G34030//AT5G48120//AT2G40955//AT1G79470//AT5G56680//AT3G06930//AT4G25740//AT1G29395//AT5G20160//AT1G26630//AT4G31210//AT5G37490//AT1G08190//AT2G23350//AT3G47580//AT5G57050//AT1G07430//AT3G26230//AT5G10240//AT3G55280//AT5G25780//AT1G17960	0.999999986466155	1
HEAT_SHOCK_PROTEIN_BINDING	GO:0031072   heat shock protein binding,    GOslim:molecular_function	2	736	MF	129	AT5G06110//AT5G37440	0.84152070305424	1
CYTOPLASMIC_RIBOSOMAL_PROTEIN_GENE_FAMILY_L35A	Cytoplasmic ribosomal protein gene family ,L35a	2	736	OTH	4	AT1G74270//AT3G55750	0.00871659159881337	0.509525566984448
NUCLEAR_PART	GO:0044428   nuclear part,    GOslim:cellular_component	94	736	CC	642	AT1G72440//AT2G40030//AT3G09500//AT1G60850//AT1G07920//AT3G63130//AT5G54910//AT1G18850//AT3G21540//AT2G36170//AT5G25230//AT2G04390//AT1G09760//AT5G16750//AT3G18600//AT5G52470//AT1G63780//AT5G22650//AT2G37990//AT4G09800//AT1G56110//AT5G16130//AT5G02870//AT5G27620//AT3G05060//AT1G72320//AT3G18610//AT2G44120//AT5G03740//AT3G51800//AT5G04600//AT3G57150//AT2G18020//AT5G35530//AT2G45710//AT2G44860//AT1G48920//AT5G67240//AT4G25630//AT1G43170//AT2G47610//AT3G16810//AT5G58420//AT3G55620//AT4G12600//AT1G17690//AT5G40200//AT5G55920//AT3G56990//AT5G66540//AT2G17250//AT5G40770//AT4G27640//AT2G27840//AT1G74060//AT5G22440//AT3G44750//AT4G05410//AT3G49660//AT3G03920//AT4G26600//AT5G48240//AT2G47990//AT5G27120//AT3G09630//AT2G31660//AT2G41840//AT3G58660//AT4G31700//AT1G20140//AT2G44510//AT1G15440//AT3G22320//AT3G23620//AT3G57350//AT5G09510//AT3G09680//AT5G20290//AT5G15550//AT3G04920//AT3G57290//AT2G29540//AT1G26880//AT3G49010//AT4G25340//AT3G62310//AT1G80750//AT4G32720//AT2G20490//AT5G08180//AT3G11964//AT5G39740//AT5G20160//AT3G13470	1.91469833366731e-39	8.97579187401823e-37
MERISTEM_GROWTH	GO:0035266   meristem growth,    GOslim:biological_process	1	736	BP	173	AT4G07410	0.987816369530326	1
SOMATIC_CELL_DNA_RECOMBINATION	GO:0016444   somatic cell DNA recombination,    GOslim:biological_process	3	736	BP	32	AT3G19210//AT2G45280//AT2G40030	0.0560778775450832	1
ATP-DEPENDENT_RNA_HELICASE_ACTIVITY	GO:0004004   ATP-dependent RNA helicase activity,    GOslim:molecular_function	1	736	MF	7	AT5G39840	0.182964911477741	1
TROPISM	GO:0009606   tropism,    GOslim:biological_process	1	736	BP	166	AT1G08190	0.985445160065242	1
CELLULAR_RESPONSE_TO_WATER_DEPRIVATION	GO:0042631   cellular response to water deprivation,    GOslim:biological_process	4	736	BP	67	AT1G32870//AT1G64660//AT1G29395//AT1G05680	0.101350484451298	1
ACETATE_BIOSYNTHETIC_PROCESS_FROM_CARBON_MONOXIDE	GO:0019415   acetate biosynthetic process from carbon monoxide,    GOslim:biological_process	1	736	BP	3	AT5G24840	0.0960937982473294	1
NITROGEN_COMPOUND_METABOLIC_PROCESS	GO:0006807   nitrogen compound metabolic process,    GOslim:biological_process	320	736	BP	5653	AT1G64660//AT5G60990//AT3G56340//AT2G40030//AT5G16620//AT3G09500//AT1G60850//AT1G17560//AT1G48570//AT3G62120//AT5G45140//AT3G14390//AT3G27180//AT2G30770//AT1G80270//AT2G34260//AT1G51310//AT1G18850//AT1G28395//AT2G27840//AT3G21540//AT5G42540//AT2G24500//AT1G09620//AT2G36170//AT2G40700//AT4G24830//AT4G31810//AT1G03910//AT3G09630//AT2G17360//AT1G09760//AT2G06990//AT4G28200//AT5G16750//AT3G11400//AT4G25730//AT5G67220//AT5G20600//AT3G62870//AT5G52470//AT4G29410//AT1G63780//AT5G22650//AT3G07430//AT3G04770//AT2G41840//AT4G16720//AT4G36580//AT4G27490//AT3G01600//AT2G24120//AT4G09800//AT2G22490//AT5G59240//AT5G08600//AT2G28600//AT5G39840//AT4G04670//AT3G61620//AT3G23940//AT2G33840//AT1G28530//AT5G55920//AT5G19820//AT1G56110//AT3G17970//AT2G37990//AT5G04600//AT1G64880//AT5G16130//AT5G06550//AT5G58420//AT5G02870//AT5G60960//AT2G35500//AT3G03630//AT3G13940//AT5G58610//AT3G48250//AT1G31660//AT5G09330//AT4G12600//AT1G25350//AT3G18610//AT5G56680//AT4G31180//AT1G03860//AT5G40770//AT4G02930//AT3G10610//AT3G55010//AT3G51800//AT5G24840//AT3G13230//AT3G57150//AT1G18080//AT3G01610//AT5G41190//AT1G79950//AT4G02400//AT5G35530//AT5G61880//AT1G10450//AT2G34520//AT3G15080//AT3G15460//AT1G65230//AT2G45710//AT5G27620//AT1G80620//AT5G07090//AT2G24050//AT2G37690//AT5G14580//AT3G26410//AT1G48920//AT1G61570//AT1G42440//AT4G25630//AT2G42720//AT1G43170//AT2G47610//AT3G16810//AT3G07630//AT5G64420//AT5G15610//AT5G46160//AT5G14050//AT5G58130//AT4G21770//AT2G15000//AT4G25340//AT1G03530//AT2G18220//AT3G10530//AT2G44860//AT5G63890//AT1G30240//AT1G69070//AT1G17690//AT5G18570//AT4G15000//AT2G16570//AT1G49760//AT2G45310//AT1G50920//AT1G67120//AT3G18600//AT5G66540//AT2G03710//AT5G51330//AT2G17250//AT5G03740//AT5G13280//AT3G48500//AT5G11240//AT3G26730//AT5G65860//AT2G40010//AT5G20890//AT2G34970//AT4G37910//AT2G03130//AT1G48630//AT5G24280//AT4G10450//AT5G22440//AT3G42723//AT3G44750//ATCG00540//AT4G32400//AT4G05410//AT3G20000//AT3G16780//AT5G08180//AT4G28450//AT5G41360//AT5G57890//AT1G20370//AT4G15640//AT2G20060//AT3G57660//AT3G60880//AT3G05060//AT1G18540//AT3G04600//AT2G16650//AT1G32550//AT3G63130//AT4G39040//AT1G29900//AT1G29940//AT4G26600//AT3G49500//AT1G06670//AT5G48240//AT3G57940//AT3G11710//AT2G47990//AT1G72090//AT4G19130//AT2G40360//AT1G49540//AT1G63660//AT3G47450//AT2G45280//AT3G22660//AT5G27330//AT3G09720//AT2G34900//AT1G14810//AT2G47790//AT3G20050//AT5G52520//AT1G23410//AT4G28030//AT1G23280//AT1G71770//AT2G31660//AT2G25640//AT3G54090//AT5G11840//AT1G19150//AT5G46790//AT3G58660//AT5G14490//AT1G03110//AT4G31700//AT3G56490//AT4G04940//AT1G79150//AT1G52930//AT1G04170//AT1G75240//AT3G02790//AT5G17270//AT3G46210//AT5G10360//AT3G06200//AT5G23300//AT5G04150//AT1G15440//AT3G49240//AT1G32870//AT3G22320//AT3G55510//AT3G23620//AT3G06530//AT1G68990//AT1G63810//AT5G09510//AT5G23250//AT3G19210//AT3G20330//AT3G55160//AT2G34750//AT1G26470//AT5G11270//AT4G21900//AT3G02560//AT5G15550//AT3G04920//AT4G05400//AT2G39670//AT1G52160//AT5G27470//AT3G12670//AT3G57290//AT3G02760//AT2G44120//AT3G07750//AT1G14610//AT4G35490//AT2G29540//AT4G34740//AT1G26880//AT5G13830//AT3G25940//AT2G03820//AT3G49010//AT2G35040//AT3G56070//AT3G03920//AT3G60360//AT5G02050//AT3G30770//AT5G23710//AT3G60500//AT3G19440//AT5G15810//AT1G01250//AT5G20290//AT3G58700//AT1G30680//AT1G27400//AT2G34570//AT3G12080//AT1G34030//AT1G80750//AT4G32720//AT1G79470//AT2G20490//AT3G19630//AT4G15770//AT3G11964//AT3G06930//AT3G61630//AT5G39740//AT5G20160//AT1G26630//AT4G31210//AT5G37490//AT5G06360//AT5G35910//AT1G72370//AT5G10240//AT3G27740//AT3G12270//AT1G17960	1.70053796756491e-47	1.16161143614897e-44
XYLEM_AND_PHLOEM_PATTERN_FORMATION	GO:0010051   xylem and phloem pattern formation,    GOslim:biological_process	3	736	BP	97	AT1G48920//AT4G07410//AT4G13750	0.456449995303388	1
NEGATIVE_REGULATION_OF_KINASE_ACTIVITY	GO:0033673   negative regulation of kinase activity,    GOslim:biological_process	3	736	BP	43	AT2G22490//AT5G27620//AT5G57050	0.106855565076792	1
